Reg,ParkName,DayVisits,OtherLodging,Acres,SqMiles,Camping
SE,Everglades National Park,930907.0,0.0,1400539.3,"2,188.34","31,935.00"
SE,Great Smoky Mountains National Park,11312786.0,11493.0,522426.88,816.29,"411,603.00"
SE,Little River Canyon National Preserve,462700.0,0.0,15288.53,23.89,0.00
SE,Mammoth Cave National Park,586514.0,16365.0,52830.19,82.55,"60,972.00"
SE,Virgin Islands National Park,411343.0,14214.0,14948.46,23.36,"15,842.00"
SE,Canaveral National Seashore,1629944.0,0.0,57661.69,90.10,"2,636.00"
SE,Cape Hatteras National Seashore,2411711.0,0.0,30350.65,47.42,"66,062.00"
SE,Cape Lookout National Seashore,458000.0,10118.0,28243.36,44.13,"37,197.00"
SE,Cumberland Island National Seashore,61896.0,0.0,36346.83,56.79,"19,163.00"
SE,Gulf Islands National Seashore,4771309.0,0.0,138305.52,216.10,"178,701.00"
SE,Big Cypress National Preserve,1102148.0,0.0,574453.32,897.58,"17,714.00"
